"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC391322",356.358333333333,1063.95138888889,7.24616755563568,0.000766228576577771,0.0447069509613932,-4.59131606869447
"DDHD2",-833.727777777778,1272.23611111111,-7.23867473213729,0.000769920303972108,0.0447069509613932,-4.59131691013302
"SH3BP1",1010.27222222222,1323.875,7.23293736862158,0.000772761345473823,0.0447069509613932,-4.59131755599661
"NPHS1",-7217.35277777778,5104.39027777778,-7.19513393443759,0.000791794197194611,0.045364848542847,-4.59132184572783
"ACD",1696.61111111111,2980.73333333333,7.17840462828595,0.000800393589644272,0.045364848542847,-4.59132376318363
"PHGDH",3347.98888888889,4809.82777777778,7.17604209998161,0.000801616886790007,0.045364848542847,-4.59132403492154
"MCM6",-3204.51666666667,3138.45833333333,-7.17123837060065,0.000804111044302363,0.045364848542847,-4.59132458817641
"ZNF264",-330.25,290.191666666667,-7.14062725130882,0.00082022212561503,0.0459881331293909,-4.59132813684826
"GDI2",-795.43888888889,2904.48055555556,-7.11438430128046,0.000834338858907564,0.0464926371500454,-4.59133121127451
"CTDSPL",-4719.71666666667,4389.50277777778,-7.07137027715009,0.000858103705621385,0.0470054829503908,-4.59133631568194
"CTSH",5668.14444444445,5395.93888888889,7.07133489812295,0.000858123579141436,0.0470054829503908,-4.59133631991403
"FRY",-6336.81111111111,4173.98888888889,-7.06965562311425,0.000859067507405579,0.0470054829503908,-4.59133652085509
"METTL3",-922.527777777778,955.991666666667,-7.05737795783019,0.000866006268175295,0.0471014067894383,-4.59133799382137
"FAM20B",-1450.525,1377.57083333333,-7.03895422198397,0.000876543241129872,0.0472877303452795,-4.59134021684057
"C11orf58",-598.477777777778,1044.81111111111,-7.02938651944614,0.000882075010939053,0.0472877303452795,-4.59134137733802
"MME",-25391.1333333333,14759.9888888889,-7.02426934456955,0.000885050551436476,0.0472877303452795,-4.59134199972394
"GJB1",972.605555555556,1346.10277777778,7.00524133992631,0.000896219578578384,0.0476044586679969,-4.59134432453533
"RNF13",-657.152777777778,566.431944444444,-6.97524574388806,0.000914166607045963,0.048149481287538,-4.59134802323347
"LANCL1",-1629.60555555556,1908.44722222222,-6.9700694326946,0.000917306524062117,0.048149481287538,-4.59134866574605
"EIF3M",-5293,4182.71111111111,-6.94992377970673,0.000929648719375185,0.048149481287538,-4.59135117830004
"PLK3",1875.65555555556,2876.11111111111,6.94181861777662,0.000934669632344228,0.048149481287538,-4.59135219456996
"DDX3X",-916.500000000001,1478.41666666667,-6.92361347916661,0.000946064496379831,0.048149481287538,-4.59135448860919
"BEX4",-2857.78333333333,2515.89166666667,-6.92208449355979,0.000947028962890736,0.048149481287538,-4.5913546819975
"LSM3",-1055.61666666667,998.747222222222,-6.91947806294155,0.000948675749298813,0.048149481287538,-4.59135501192074
"FARP2",-923.25,932.147222222222,-6.91612786602226,0.000950797432696219,0.048149481287538,-4.59135543646878
"GYG1",-805.011111111111,773.005555555555,-6.90351511983222,0.000958835554091207,0.048149481287538,-4.59135703963987
"SEMA5A",-12423.25,9042.875,-6.9024922721577,0.000959490929543585,0.048149481287538,-4.59135716998754
"TMED10",-2876.57777777778,2831.40555555556,-6.88743964340427,0.000969197175363556,0.048186449373072,-4.59135909409803
"GRIP2",2088.91666666667,2729.59722222222,6.88491284864047,0.000970837854813627,0.048186449373072,-4.59135941816642
"GADD45A",-1705.94444444445,2017.93888888889,-6.86433763665264,0.000984320464521241,0.0482980134599947,-4.59136206861721
"SNCG",1395.59444444444,1780.44722222222,6.85568991296919,0.000990053135958864,0.0482980134599947,-4.59136318880825
"CRYM",936.513888888889,792.320833333333,6.85153428607263,0.00099282197435555,0.0482980134599947,-4.59136372842617
"SOD1",-1847.87777777778,5428.27777777778,-6.84157474224778,0.000999495205353752,0.0482980134599947,-4.5913650251834
"MYO1B",-4251.24444444444,2818.68888888889,-6.84131101036023,0.000999672633543873,0.0482980134599947,-4.59136505958898
"CA4",850.066666666667,1038.62777777778,6.82392144383742,0.00101145417813643,0.0486086682540382,-4.59136733584046
"SEPT2",-10427.0222222222,15096.8055555556,-6.79509332645071,0.00103134880031621,0.0490896138414354,-4.59137114289949
"PNPLA2",5741.23333333334,5649.71666666667,6.79377317974956,0.0010322708624589,0.0490896138414354,-4.59137131824826
"GALC",-1165.2,934.355555555555,-6.76705807779269,0.00105114102853187,0.0493546336081071,-4.59137488585973
"MTHFR",1567.90555555556,2567.24722222222,6.76489406858084,0.00105268733311563,0.0493546336081071,-4.59137517645543
"KLK7",-1477.17222222222,1014.50277777778,-6.76285755761404,0.00105414498733599,0.0493546336081071,-4.59137545015111
"TSPAN8",-322.991666666667,219.204166666667,-6.74555364981276,0.00106662709213225,0.049542367545597,-4.59137778438319
"PEX11B",-552.291666666667,859.390277777778,-6.73941585814525,0.0010710964426054,0.049542367545597,-4.59137861609719
"HNRNPA0",-531.963888888889,700.443055555555,-6.73473749963738,0.00107451793531681,0.049542367545597,-4.59137925137231
"DEK",-782.263888888889,1362.43472222222,-6.70274843516785,0.00109826192398039,0.050274570127753,-4.5913836260947
"G3BP2",-1493.30555555556,1596.33611111111,-6.69849086008727,0.00110146861779399,0.050274570127753,-4.5913842124429
"DDX17",-10383.6111111111,10232.2333333333,-6.68348789331264,0.00111285690683255,0.0505403964238001,-4.59138628636812
"MTHFD2",-1951.6,2198.47222222222,-6.65994356457403,0.00113101018785537,0.0511092812750763,-4.59138956546737
"PHF21A",520.875,916.768055555556,6.63843489015068,0.00114790015544921,0.0515292005308179,-4.59139258743634
"USP33",-1130.57222222222,1834.79722222222,-6.62676945961445,0.00115718505593463,0.0515292005308179,-4.59139423706492
"GMDS",-3017.96111111111,1703.44722222222,-6.62414744895981,0.00115928418444579,0.0515292005308179,-4.59139460888363
"SETD1B",693.933333333333,1122.66111111111,6.61952562268316,0.00116299527786168,0.0515292005308179,-4.59139526521813
"EPS15",-1239.69444444444,1603.46944444444,-6.60981966134015,0.00117083441273827,0.0515896737555706,-4.59139664740611
"HDGF",-1078.18888888889,2402.05,-6.59215841801635,0.00118525929026038,0.0515896737555706,-4.59139917598887
"RHOBTB2",-1001.11388888889,796.765277777778,-6.59140313772402,0.00118588082943322,0.0515896737555706,-4.59139928451406
"PCK2",1386.09444444444,1513.34722222222,6.58994803019088,0.00118707935868262,0.0515896737555706,-4.59139949368711
"MYL9",-15634.1555555556,13423.0944444444,-6.56884390626655,0.00120462393122547,0.0518725719223718,-4.59140254089515
"ABLIM3",776.958333333333,875.529166666667,6.56837853501574,0.00120501424460976,0.0518725719223718,-4.59140260837485
"PLXNB2",-4975.87777777778,9026.9,-6.55950307043367,0.00121248685938292,0.0518725719223718,-4.59140389770057
"DDN",-9773.80277777778,5470.47083333333,-6.55484251774276,0.00121643265655237,0.0518725719223718,-4.59140457653741
"ZFP36L2",-535.280555555556,1149.81527777778,-6.54586737921581,0.00122407410605903,0.0519545098380103,-4.59140588733419
"MMP14",1822.95,2846.21388888889,6.52889811758813,0.00123867709464314,0.0522825968507944,-4.5914083783634
"PDLIM5",-3943.46388888889,3348.75694444444,-6.51736172029941,0.00124872220460268,0.0522825968507944,-4.59141008142085
"MGST3",1755.05277777778,5186.8625,6.51696164924017,0.00124907227971181,0.0522825968507944,-4.59141014062064
"TRIB2",-5665.55555555556,9981.45,-6.50075772068417,0.0012633490374307,0.0524313394319458,-4.59141254625949
"CDS1",-498.508333333334,295.079166666667,-6.49245123894203,0.0012707422000321,0.0524313394319458,-4.59141378543855
"CDH1",648.969444444444,511.3625,6.49031719239104,0.0012726498344918,0.0524313394319458,-4.59141410445949
"ANXA1",-1774.66388888889,2009.49583333333,-6.48110012009617,0.00128092791586379,0.0524313394319458,-4.59141548543547
"MYLK",-2782.53333333333,2471.84444444444,-6.47326749256913,0.0012880125437906,0.0524313394319458,-4.59141666295992
"TARDBP",-1407.61111111111,2427.62222222222,-6.46779699029653,0.00129298804030003,0.0524313394319458,-4.59141748754793
"AFDN",656.555555555556,843.361111111111,6.46774751460613,0.00129303314243707,0.0524313394319458,-4.59141749501376
"CAND2",-811.025,594.7125,-6.45323788839774,0.00130634057600492,0.0527355175637898,-4.59141969085122
"ARC",992.102777777778,1420.17083333333,6.42454064507199,0.00133313875447584,0.0535792004730267,-4.59142407134435
"GPR78",699.355555555556,1291.95,6.39995897616691,0.00135661033626497,0.0538883125807925,-4.59142786373569
"POLD4",869.511111111111,2636.85,6.38453037236881,0.00137159110251278,0.0538883125807925,-4.59143026314927
"CD2AP",-2844.14722222222,2354.55972222222,-6.38421182918369,0.00137190244833848,0.0538883125807925,-4.59143031284475
